revID,Sentiment,Customer_Review,BookingID
1,1,"wow loved plac",1
2,0,"crust good",2
3,0,"tasty texture nasti",3
4,1,"stopped late may bank holiday rick steve recommendation lov",4
5,1,"selection menu great pric",4
6,0,"getting angry want damn pho",6
7,0,"honeslty taste fresh",6
8,0,"potatoes like rubber could tell made ahead time kept warm",6
9,1,"fries great",9
10,1,"great touch",10
11,1,"service prompt",11
12,0,"would go back",12
13,0,"cashier care ever say still ended wayyy overpr",13
14,1,"tried cape cod ravoli chicken cranberry mmmm",14
15,0,"disgusted pretty sure human hair",15
16,0,"shocked signs indicate cash",16
17,1,"highly recommend",17
18,0,"waitress little slow servic",18
19,0,"place worth time let alone vega",19
20,0,like,20
21,0,"burrittos blah",21
22,1,"food amaz",22
23,1,"service also cut",22
24,1,"could care less interior beauti",22
25,1,perform,25
26,1,"right red velvet cake ohhh stuff good",26
27,0,"never brought salad ask",27
28,1,"hole wall great mexican street tacos friendly staff",28
29,0,"took hour get food tables restaurant food luke warm sever running around like totally overwhelm",29
30,0,"worst salmon sashimi",30
31,1,"also combos like burger fries beer decent d",31
32,0,"like final blow",32
33,1,"found place accident could happi",33
34,0,"seems like good quick place grab bite familiar pub food favor look elsewher",34
35,1,"overall like place lot",35
36,1,"redeeming quality restaurant inexpens",36
37,1,"ample portions good pric",37
38,0,"poor service waiter made feel like stupid every time came t",38
39,1,"first visit hiro delight",39
40,0,"service suck",40
41,1,"shrimp tender moist",41
42,0,"deal good enough would drag establish",42
43,0,"hard judge whether sides good grossed melted styrofoam want eat fear getting sick",43
44,1,"positive note server attentive provided great servic",44
45,0,"frozen pucks disgust worst people behind regist",45
46,1,"thing like prime rib dessert sect",46
47,0,"bad food damn gener",47
48,1,"burger good beef cooked right",48
49,1,"want sandwich go firehous",49
50,1,"side greek salad greek dressing tasty pita hummus refresh",50
51,1,"ordered duck rare pink tender inside nice char outsid",51
52,1,"came running us realized husband left sunglasses t",52
53,1,"chow mein good",53
54,0,"horrible attitudes towards customers talk one customers enjoy food",54
55,1,"portion hug",55
56,1,"loved friendly servers great food wonderful imaginative menu",56
57,0,"heart attack grill downtown vegas absolutely flat lined excuse restaur",57
58,0,"much seafood like strings pasta bottom",58
59,1,"salad right amount sauce power scallop perfectly cook",59
60,0,"ripped banana ripped petrified tasteless",60
61,0,"least think refill water struggle wave minut",61
62,1,"place receives stars appet",62
63,1,"cocktails handmade delici",63
64,1,"definitely go back",64
65,1,"glad found plac",65
66,1,"great food service huge portions give military discount",66
67,1,"always great time dos gringo",67
68,1,"update went back second time still amaz",68
69,0,"got food apparently never heard salt batter fish chewi",69
70,1,"great way finish great",70
71,1,"deal included tastings drinks jeff went beyond expect",71
72,1,"really really good rice tim",72
73,0,"service meh",73
74,0,"took min get milkshake nothing chocolate milk",74
75,0,"guess known place would suck inside excalibur use common sens",75
76,0,"scallop dish quite appalling value wel",76
77,0,"times bad customer servic",77
78,1,"sweet potato fries good seasoned wel",78
79,1,"today second time lunch buffet pretty good",79
80,0,"much good food vegas feel cheated wasting eating opportunity going rice compani",80
81,0,"coming like experiencing underwhelming relationship parties wait person ask break",81
82,0,"walked place smelled like old grease trap others ",82
83,0,"turkey roast beef bland",83
84,1,place,84
85,0,"pan cakes everyone raving taste like sugary disaster tailored palate six year old",85
86,1,"love pho spring rolls oh yummy tri",86
87,0,"poor batter meat ratio made chicken tenders unsatisfi",87
88,1,"say food amaz",88
89,1,"omelets di",89
90,1,"everything fresh delici",90
91,0,"summary largely disappointing dining experi",91
92,1,"like really sexy party mouth outrageously flirting hottest person parti",92
93,0,"never hard rock casino never ever step forward",93
94,1,"best breakfast buffet",94
95,0,"say bye bye tip ladi",95
96,0,"never go",96
97,1,back,97
98,1,"food arrived quickli",98
99,0,good,99
100,1,"side cafe serves really good food",100
101,1,"server fantastic found wife loves roasted garlic bone marrow added extra meal another marrow go",100
102,1,"good thing waiter helpful kept bloddy mary com",102
103,1,"best buffet town price cannot beat",103
104,1,"loved mussels cooked wine reduction duck tender potato dishes delici",104
105,1,"one better buffet",105
106,1,"went tigerlilly fantastic afternoon",106
107,1,"food delicious bartender attentive personable got great d",107
108,1,"ambience wonderful music play",108
109,1,"go back next trip",109
110,1,"sooooo good",110
111,0,"real sushi lovers let honest yama good",111
112,0,"least min passed us ordering food arriving busi",112
113,1,"really fantastic thai restaurant definitely worth visit",113
114,1,"nice spicy tend",114
115,1,"good pric",115
116,1,check,116
117,0,"pretty gross",117
118,0,"better atmospher",118
119,0,"kind hard mess steak",119
120,0,"although much liked look sound place actual experience bit disappoint",120
121,0,"know place managed served blandest food ever eaten preparing indian cuisin",121
122,0,"worst service boot least worri",122
123,1,"service fine waitress friendli",123
124,1,"guys steaks steak loving son steak best worst places said best steak ever eaten",124
125,1,"thought venture away get good sushi place really hit spot night",125
126,0,"host staff lack better word bitch",126
127,0,"bland liking place number reasons want waste time bad reviewing leav",127
128,1,"phenomenal food service ambi",128
129,0,return,129
130,1,"definitely worth venturing strip pork belly return next time vega",130
131,0,"place way overpriced mediocre food",131
132,1,"penne vodka excel",132
133,1,"good selection food including massive meatloaf sandwich crispy chicken wrap delish tuna melt tasty burg",133
